number,unlocked,title,heading,message,closing
1,TRUE,Card 1,A little birthday surprise is waiting… 🌸,"The room named after something found in a spice rack holds today’s surprise. Head to the place where bubbles, shampoo and hot showers live… something beautiful is waiting there.",Happy Birthday! I wish I could celebrate this day with you.
2,FALSE,Card 2,,,
3,FALSE,Card 3,,,
4,FALSE,Card 4,,,
5,FALSE,Card 5,,,
6,FALSE,Card 6,,,
7,FALSE,Card 7,,,
8,FALSE,Card 8,,,
9,FALSE,Card 9,,,
10,FALSE,Card 10,,,
11,FALSE,Card 11,,,
12,FALSE,Card 12,,,
13,FALSE,Card 13,,,
14,FALSE,Card 14,,,
15,FALSE,Card 15,,,
16,FALSE,Card 16,,,
17,FALSE,Card 17,,,
18,FALSE,Card 18,,,
19,FALSE,Card 19,,,
20,FALSE,Card 20,,,
21,FALSE,Card 21,,,
22,FALSE,Card 22,,,
23,FALSE,Card 23,,,
24,FALSE,Card 24,,,
25,FALSE,Card 25,,,
26,FALSE,Card 26,,,
27,FALSE,Card 27,,,
28,FALSE,Card 28,,,
29,FALSE,Card 29,,,
30,FALSE,Card 30,,,
